[2026-03-08 05:22:43] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:23:44] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:24:45] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:25:48] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:26:49] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:27:50] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:28:50] Summarizing steering outputs
================================================================================
ACTIVATION STEERING SUMMARY
================================================================================
Baseline: success 6.0% | syntax 94.0% | runtime 0.0%

alpha  -2.0: success  10.0% ( +4.0), syntax  90.0% ( -4.0), runtime   0.0% ( +0.0)
alpha  -1.0: success   2.0% ( -4.0), syntax  94.0% ( +0.0), runtime   4.0% ( +4.0)
alpha   1.0: success   4.0% ( -2.0), syntax  96.0% ( +2.0), runtime   0.0% ( +0.0)
alpha   2.0: success  12.0% ( +6.0), syntax  88.0% ( -6.0), runtime   0.0% ( +0.0)

Best alpha: 2.0 with success 12.0%

Saved summary to: data/results_gpt2_medium/ablation/activation_steering_top5_10x5_summary.json
================================================================================
ACTIVATION STEERING CONTROL SUMMARY
================================================================================
Baseline: success 6.0% | syntax 94.0% | runtime 0.0%

Target alpha  -2.0: success  10.0% | syntax  90.0% | runtime   0.0%
Target alpha   2.0: success  12.0% | syntax  88.0% | runtime   0.0%

Random controls: mean success 6.0% | max success 8.0% | std 3.10
Specificity: target alpha 2.0 shift +6.0 vs random-control mean 6.0% (empirical p upper bound 0.167)

Saved summary to: data/results_gpt2_medium/ablation/activation_steering_controls_10x5_summary.json
Saved figure to: outputs/figures/figure5_activation_steering_response.png
[2026-03-08 05:29:31] Running GPT-2 small scaled ablation
================================================================================
SCALED LAYER ABLATION
================================================================================
Model config: config.yaml
Dataset config: config.yaml
Problems: 10
Samples/problem: 5
Scales: 0.75,0.5,0.25,0.0
Output: data/results/ablation/scaled_layer2_10x5.json
Loading model: gpt2
✅ Model loaded on cuda

Running baseline condition
  0%|          | 0/10 [00:00<?, ?it/s] 10%|█         | 1/10 [08:26<1:15:55, 506.15s/it] 20%|██        | 2/10 [17:01<1:08:10, 511.31s/it] 30%|███       | 3/10 [21:02<45:17, 388.18s/it]   40%|████      | 4/10 [23:21<28:58, 289.67s/it] 50%|█████     | 5/10 [33:29<33:43, 404.61s/it] 60%|██████    | 6/10 [37:37<23:25, 351.26s/it] 70%|███████   | 7/10 [44:45<18:48, 376.32s/it] 80%|████████  | 8/10 [52:28<13:28, 404.01s/it] 90%|█████████ | 9/10 [58:36<06:32, 392.66s/it]100%|██████████| 10/10 [1:02:04<00:00, 335.54s/it]                                                  
Running layer 2 at scale 0.75
  0%|          | 0/10 [00:00<?, ?it/s] 10%|█         | 1/10 [03:50<34:34, 230.53s/it] 20%|██        | 2/10 [11:03<46:38, 349.82s/it] 30%|███       | 3/10 [18:59<47:30, 407.26s/it] 40%|████      | 4/10 [23:03<34:16, 342.75s/it] 50%|█████     | 5/10 [28:35<28:15, 339.04s/it] 60%|██████    | 6/10 [32:14<19:51, 297.97s/it] 70%|███████   | 7/10 [38:52<16:32, 330.74s/it] 80%|████████  | 8/10 [44:59<11:25, 342.52s/it] 90%|█████████ | 9/10 [50:22<05:36, 336.27s/it]100%|██████████| 10/10 [50:41<00:00, 238.29s/it]                                                  Success   2.0% | Syntax  96.0% | Runtime   2.0%

Running layer 2 at scale 0.5
  0%|          | 0/10 [00:00<?, ?it/s] 10%|█         | 1/10 [07:20<1:06:08, 440.98s/it] 20%|██        | 2/10 [13:23<52:38, 394.75s/it]   30%|███       | 3/10 [18:45<42:11, 361.59s/it] 40%|████      | 4/10 [22:31<30:47, 307.91s/it] 50%|█████     | 5/10 [25:29<21:45, 261.08s/it] 60%|██████    | 6/10 [27:16<13:55, 208.79s/it] 70%|███████   | 7/10 [27:43<07:28, 149.39s/it] 80%|████████  | 8/10 [33:06<06:49, 204.69s/it] 90%|█████████ | 9/10 [37:03<03:34, 214.63s/it]100%|██████████| 10/10 [42:43<00:00, 253.39s/it]                                                  Success   2.0% | Syntax  98.0% | Runtime   0.0%

Running layer 2 at scale 0.25
  0%|          | 0/10 [00:00<?, ?it/s] 10%|█         | 1/10 [06:24<57:38, 384.32s/it] 20%|██        | 2/10 [13:59<56:48, 426.11s/it] 30%|███       | 3/10 [21:00<49:24, 423.55s/it] 40%|████      | 4/10 [23:07<30:38, 306.43s/it] 50%|█████     | 5/10 [32:29<33:14, 398.89s/it] 60%|██████    | 6/10 [40:18<28:10, 422.56s/it] 70%|███████   | 7/10 [43:01<16:53, 337.69s/it] 80%|████████  | 8/10 [46:18<09:45, 292.80s/it] 90%|█████████ | 9/10 [47:53<03:51, 231.10s/it]100%|██████████| 10/10 [50:20<00:00, 205.08s/it]                                                  Success   4.0% | Syntax  96.0% | Runtime   0.0%

Running layer 2 at scale 0.0
  0%|          | 0/10 [00:00<?, ?it/s] 10%|█         | 1/10 [02:19<20:51, 139.08s/it] 20%|██        | 2/10 [03:20<12:27, 93.38s/it]  30%|███       | 3/10 [04:45<10:27, 89.57s/it] 40%|████      | 4/10 [07:40<12:19, 123.24s/it] 50%|█████     | 5/10 [12:00<14:22, 172.48s/it] 60%|██████    | 6/10 [18:19<16:11, 242.96s/it] 70%|███████   | 7/10 [22:08<11:54, 238.29s/it] 80%|████████  | 8/10 [31:11<11:10, 335.24s/it] 90%|█████████ | 9/10 [37:36<05:50, 350.73s/it]100%|██████████| 10/10 [40:30<00:00, 296.28s/it]                                                  Success   2.0% | Syntax  98.0% | Runtime   0.0%

Saved report to: data/results/ablation/scaled_layer2_10x5.json
================================================================================
SCALED ABLATION SUMMARY
================================================================================
Baseline: success 4.0% | syntax 96.0% | runtime 0.0%

